time,on,off,power,
1,start,,,
2,alarmclockright,,,
3,infrared,,60,
4,kitarr,,,
5,automakk,,,
6,kausslamp,,8,
10,massaz,,10,
20,manguauto,,8
30,massaz,,15,
40,led_vasak,,70,
41,suur_vent,,20,
50,olympus,,,
60,robottolm,,4,

,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
,,,,
0,infrared,,60,
10,musakeskus_button,,,
11,sangbackbottom,,,
20,foonright,,20,
21,sangright,,,
30,mangutrell,,10,
40,kyyned,,,
41,3cd_mootor,,2,
50,lavasangad,,,
51,taskulampleft,,,
60,kalad,,,
,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
0,infrared,,60,
3,kausslamp,,100,
4,foonbaclbottom,,100,
10,stopled,,100,
11,venttop,,100,
20,sangad_philips,,,
30,uksekellright,,100,
40,halogen,,20,
41,monomikser,,20,
41,mikser,,20,
50,reflects,,50,
51,trell,,,
60,vortex,,,
,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
0,infrared,,60,
4,kalad,,100,
10,cd,,100,
11,synt,,100,
20,uksekellback,,,
30,,uksekellright,0,not needed
40,massaz,,60,
50,robottolm,,60,
55,uustelefon,,,
60,mangutrell,,100,
,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
0,infrared,,60,
3,foonright,,100,
10,monomikser,,60,
20,sireen,,10,
21,firealarm,,100,
30,suur_vent,,100,
40,massaz,,100,
50,reflects,,100,
60,robottolm,,100,
,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
0,infrared,,60,
3,monomikser,,100,
4,vanatelefon,,,
10,tolmuimejafrontleft,,,
20,sangleft,,,
30,sireen,,20,
40,sireen,,30,
50,exit,,100,
,,,,
,zero,,,
1,uksekellimpuse,,,
2,,uksekellimpuse,,
3,,start,,
4,,silence,,
5,exit,,100,
15,,end,0,
